Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
2009-10-25,Mildura,12.1,20.7,0.0,9.0,12.2,S,52.0,S,S,28.0,28.0,58.0,28.0,1020.4,1019.6,1.0,2.0,14.2,19.0,No
2014-11-12,Penrith,15.5,26.1,0.0,,,E,26.0,E,E,6.0,7.0,65.0,44.0,,,,,18.9,25.3,No
2015-09-18,Newcastle,12.5,19.2,5.6,,,,,SE,,28.0,,56.0,,,,6.0,,18.0,,Yes
2013-09-07,Ballarat,1.7,15.4,0.0,,,WSW,43.0,WNW,SW,15.0,17.0,98.0,85.0,1025.7,1025.2,,8.0,9.9,11.7,No
2010-10-05,PearceRAAF,5.7,23.2,0.0,,10.2,SW,52.0,S,SW,22.0,37.0,59.0,42.0,1023.0,1020.7,4.0,3.0,17.2,22.3,No
2016-02-20,Melbourne,,,,4.0,9.5,SSE,44.0,SSW,SSE,11.0,28.0,,,,,,,,,
2010-12-18,Brisbane,21.4,30.4,0.0,4.6,,WSW,30.0,W,WSW,7.0,11.0,47.0,52.0,1006.6,1004.8,7.0,7.0,27.0,27.3,No
2011-05-04,Ballarat,7.4,14.2,0.4,,,SSW,39.0,SW,SW,13.0,20.0,99.0,80.0,1021.8,1021.1,6.0,7.0,9.2,12.6,No
2014-05-12,Sydney,12.6,23.0,0.0,4.0,8.8,SSE,37.0,W,S,17.0,20.0,73.0,51.0,1030.1,1028.5,3.0,2.0,16.7,22.7,No
2015-12-15,Sydney,20.6,26.9,0.0,10.0,5.7,ENE,43.0,ENE,ENE,11.0,22.0,72.0,65.0,1015.3,1012.5,6.0,8.0,23.1,25.0,No
2012-01-31,Sydney,25.3,28.8,0.0,11.2,2.4,SSE,44.0,SW,SE,19.0,28.0,50.0,68.0,1005.2,1008.0,,,27.2,24.4,No
2014-07-15,Portland,5.2,9.7,0.0,0.6,0.0,NNE,39.0,N,N,17.0,19.0,79.0,81.0,1014.5,1009.2,8.0,7.0,7.7,9.0,No
2014-02-27,Nhil,7.4,26.2,0.0,,,S,48.0,SSE,SSE,13.0,26.0,69.0,28.0,1021.8,1020.2,,,13.2,24.0,No
2011-02-05,PearceRAAF,18.4,30.1,0.0,,12.2,ESE,65.0,ESE,ESE,39.0,33.0,45.0,18.0,1017.4,1014.5,,,21.5,29.6,No
2010-12-03,Brisbane,20.2,24.9,1.2,4.4,0.0,ENE,30.0,SE,NE,4.0,11.0,77.0,70.0,1017.0,1013.3,8.0,8.0,22.8,23.7,Yes
2011-05-09,Portland,9.1,14.0,0.8,1.0,6.4,SE,31.0,ESE,SE,17.0,19.0,81.0,56.0,1025.0,1023.5,7.0,6.0,10.2,12.7,No
2014-02-17,Nhil,9.3,29.4,0.0,,,SSE,43.0,E,NNE,26.0,11.0,63.0,28.0,1013.9,1010.7,,,15.2,26.8,No
2016-02-10,PearceRAAF,16.9,45.1,0.0,,12.5,NW,39.0,ENE,SW,4.0,19.0,35.0,15.0,1013.7,1010.8,0.0,,30.1,40.0,No
2014-09-24,PearceRAAF,5.7,23.1,0.0,,10.9,SSW,30.0,ENE,SW,9.0,17.0,64.0,50.0,1025.5,1021.7,3.0,,16.4,22.2,No
2009-04-27,Sydney,11.2,18.7,0.0,7.2,9.9,,,W,WNW,28.0,24.0,43.0,26.0,1013.0,1012.7,1.0,2.0,14.1,17.9,No
2015-05-14,Nhil,4.7,15.6,0.0,,,SSW,43.0,WSW,S,19.0,20.0,99.0,64.0,1034.8,1034.2,,,8.3,14.5,No
2016-07-25,Nhil,4.9,12.9,5.6,,,NNW,69.0,NW,NW,20.0,50.0,92.0,69.0,1012.1,1006.4,,,6.5,12.4,Yes
2011-05-03,Portland,6.9,14.9,0.0,0.4,7.2,SW,19.0,S,SSW,6.0,9.0,72.0,61.0,1021.3,1020.6,7.0,7.0,12.7,14.3,No
2017-05-23,Mildura,11.6,21.9,7.2,4.2,9.0,W,22.0,ENE,NW,11.0,9.0,97.0,57.0,1017.9,1014.7,3.0,4.0,14.0,21.0,Yes
2016-02-10,Penrith,17.5,32.1,0.0,,,NNE,31.0,NE,NE,4.0,6.0,80.0,47.0,,,,,22.1,30.8,No
